ID	Source	Source_Number	Direction	Target	Target_Number	Realizations	Examples
shift7303	rain	1420	→	March	589	1	1
shift6347	algae	1968	—	moss	718	1	1
shift2925	to run	3101	→	servant	3997	1	1
shift8357	near	1835	→	spleen (anat.)	4210	1	1
shift4557	footprint, track	1342	→	descendant	4417	1	1
shift2098	to hew	2763	→	to object	2944	2	2
shift0743	to weigh (tr.)	3369	→	to think	3293	12	12
shift0267	many, much	584	—	cheap	947	1	1
shift3713	to raise, lift (tr.)	3037	—	to cause to moving	2412	1	1
shift5918	blood	3630	→	Saint-John's-wort (Hypericum)	3926	5	5
shift1161	to ripen	3089	—	to become inevitable	2318	3	3
shift2277	to float	2637	→	to move smoothly, gently	2931	2	2
shift3323	cloudy	1009	—	sad	3912	4	4
shift0862	head	1578	→	beginning	3564	12	12
shift1874	to spoil (intr.)	3197	↔	to go mad	2707	2	2
shift5984	tablecloth	2108	→	feast (at a table)	1249	1	1
shift3221	lord, master	254	→	god	804	18	18
shift6247	to see/to look at	3121	—	to live, be alive	2855	1	1
shift7971	plum blossom	416	→	clubs (in cards)	1015	2	2
shift1165	to work	3380	→	to give birth	2693	8	8
shift4252	onion	4546	→	potato	445	2	2
shift3875	fast (n.)	1237	→	Friday	1378	2	2
shift6703	yoke	2085	→	side of a coin	4072	1	1
shift8580	firearm	1290	↔	cannon (weapon)	887	5	5
shift8616	black	3610	→	January	1176	1	1
shift7056	to shut, close	3155	→	mistress, paramour	685	1	1
shift6942	to let go	2843	—	to let	2842	1	1
shift4023	father	1242	→	pillar	375	1	1
shift7180	shrike	4058	—	crossbill (Loxia)	1143	1	1
shift6008	sword	4369	→	awn	2069	1	1
shift0440	enemy	3840	—	murderer	745	1	1
shift0629	bitter	3607	—	poison	422	4	4
shift4955	no	1869	—	yes	2081	1	1
shift2034	thin (of an object)	2172	—	quiet (vs. loud)	1909	2	2
shift4120	turmeric (Curcuma)	3466	→	yellow	2079	5	5
shift1799	to call	2396	→	to make a telephone call	2882	6	6
shift8217	since	4085	→	because of	3548	1	1
shift5256	low (location)	263	→	bedding (padding)	3553	1	1
shift2820	head	1578	→	ear, spike (of a grain plant)	3793	6	6
shift5617	key (of a door)	1705	→	keystone	1706	13	13
shift2823	high (size), tall	1624	—	dangerous	4381	1	1
shift6213	milk	657	→	Lampropeltis triangulum	152	6	6
shift3595	to follow, go after smb.	2649	—	near	1835	1	1
shift6320	prickly, thorned	460	→	sarcastic	3938	1	1
shift7719	bow (weapon)	3659	→	violine	3771	2	2
shift0072	flower	1323	→	colour	1038	4	4
shift0353	grey	846	→	heavy (of weight)	1594	1	1
shift6229	beautiful	3545	→	very	3761	1	1
shift2278	to float	2637	→	to pass (of time)	2960	1	1
shift6803	sun	4333	→	South	4179	1	1
shift8189	destiny	4419	→	death	4398	2	2
shift7827	<noble rank, title>	1813	→	mother of one's husband	721	1	1
shift1888	to be born	2259	↔	to rise (of Moon, Sun)	3090	3	3
shift7122	to put	3025	→	to appoint (to a position)	2232	3	3
shift4269	colour	1038	—	caste	903	1	1
shift4994	rib	1473	→	reed (in loom)	1448	1	1
shift3763	straight	4292	—	classical	992	1	1
shift1776	female calf	1256	→	girl	786	5	5
shift3662	jerboa	1182	→	weak	28	1	1
shift1627	quick	1908	—	loud	259	3	3
shift6153	apple	2018	→	pineapple	383	2	2
shift3925	stone (piece of rock)	4281	→	testicle	2161	8	8
shift6959	to move (intr.)	2926	→	to dance	2489	1	1
shift4261	egg	3813	→	puffball	489	1	1
shift6214	triangle	3434	→	Lampropeltis triangulum	152	1	1
shift5613	left	183	→	left (political)	184	14	14
shift7706	copper	1093	→	smooth snake	4133	3	3
shift1246	quick	1908	→	transparent	3427	1	1
shift2867	hot	1673	→	difficult	4433	4	4
shift1510	to sing	3157	—	to cry, weep	2482	1	1
shift6660	blood	3630	→	menstruation	636	1	1
shift4327	house	1678	→	verse	3759	3	3
shift3378	mother	720	→	queen (bee)	1903	3	3
shift1181	sediment	3984	→	something bad	4162	1	1
shift6512	bumblebee	3719	→	cockchafer	1024	3	3
shift6624	to smell bad	3177	→	elder (Sambucus)	3820	1	1
shift8460	cereal	933	→	corn crake	1098	1	1
shift7201	dissimilar, distinct	4448	—	unusual	540	1	1
shift8083	wheel	54	→	knee-cap	1719	1	1
shift0452	eye	3890	→	cavity, hollow	920	4	4
shift2914	thin (of an object)	2172	→	giraffe	785	1	1
shift0182	footprint, track	1342	→	behind	3566	1	1
shift5745	to calculate, count	2393	→	computer	1075	15	15
shift1639	to go, walk	2715	—	to resemble, be alike	3073	2	2
shift6890	cow	1122	→	fool	1336	1	1
shift4072	inside	1787	—	deep	4404	1	1
shift1408	foam	1331	—	cream (of milk)	1132	1	1
shift1033	to smell bad	3177	→	to quarrel	3035	3	3
shift4568	to rotate (tr.)	3097	→	to ache	2214	2	2
shift2859	thick	2167	→	loud	259	1	1
shift6068	to sit down	3161	→	to mount a horse	2924	1	1
shift5428	three times	2183	→	very	3761	2	2
shift0926	barley	3516	→	sty (on the eye)	4313	16	16
shift3995	root (of a plant)	1499	—	ancestor	1990	1	1
shift5251	brother	3700	—	friend	1380	3	3
shift4028	father	1242	—	elder sister	3823	2	2
shift7600	rook	1494	→	March	589	1	1
shift6303	earth	3798	→	strawberry (Fragaria moschata)	4299	20	20
shift2381	thunder	2189	→	fire-arms	1289	3	3
shift7847	sound	4173	→	news	1857	3	3
shift8058	sadness	3915	—	remembrance	1456	2	2
shift1248	to be, exist	2310	→	may, to be allowed	610	1	1
shift7914	five	1305	→	May	609	5	5
shift3247	to go down	2704	→	to get off a vehicle	2683	8	8
shift1722	alive	1970	→	active	1939	4	4
shift6235	brother-in-law	3701	—	cousin (male)	1116	1	1
shift8443	to drive, to force to move on	2560	→	to fire (from job)	2628	2	2
shift1850	to hold (in hands)	2771	→	to promise	3008	1	1
shift0249	to diminish	2522	—	tasteless	2133	1	1
shift8126	nipple (part of the breast)	1868	—	bee	3555	1	1
shift4512	candle	885	→	spark plug	4185	4	4
shift4042	owner	4576	→	spirit (supernatural being)	4208	9	9
shift3698	bell	3568	—	talkative person	2120	1	1
shift1023	squirrel (Sciurus)	4237	→	<money>	559	13	13
shift3344	leaf	174	→	money	700	1	1
shift5362	iron	1806	→	fetters	1265	4	4
shift2441	birch	3592	→	beech	3557	1	1
shift3897	to separate	3127	—	to spread (intr.)	3199	1	1
shift6620	wild sow	80	—	female maral	1257	1	1
shift6222	to do, act	2545	→	to repaire, to mend	3069	1	1
shift1516	work (n.)	121	—	service, good turn	3998	3	3
shift1035	healthy	1585	—	intact	1796	15	15
shift4462	fat (adj.)(of a person)	1239	→	pregnant	456	2	2
shift1016	to think	3293	→	to grieve (intr.)	2720	2	2
shift2520	house	1678	→	coffin	1030	2	2
shift4282	life	207	→	death	4398	2	2
shift6015	foot/leg	1340	→	leg (furniture)	186	18	18
shift7068	nurse	1896	—	midwife	656	2	2
shift2024	sated with food	3939	→	insolent	1788	4	4
shift6493	to divide into several parts	2541	—	to present, gift	3001	1	1
shift7214	good	814	→	simple	4082	1	1
shift5855	to strike, hit	3234	→	to mix, stir	2920	1	1
shift0769	brilliant, glaring	3692	↔	glad	788	7	7
shift8468	pillow	376	→	afterbirth, placenta	1953	4	4
shift5840	craftsman	1127	→	blacksmith	3617	1	1
shift6960	to dance	2489	→	to do sport, take exercise	2544	1	1
shift6480	stepfather	4258	—	father-in-law	1244	1	1
shift4453	grain, seed	823	→	novice	1889	1	1
shift6514	cow	1122	→	cockchafer	1024	1	1
shift1323	dark (adj.)	4382	→	gloomy, depressed	796	14	14
shift0932	heart	1588	↔	centre	930	14	14
shift5789	shoulder	4053	→	degree (unit of measurement)	4410	1	1
shift4267	black	3610	→	beautiful	3545	2	2
shift7502	wind	88	→	chickenpox	956	10	10
shift6452	beard	3541	→	fibres prepared for spinning	1269	1	1
shift3908	boring	3650	—	sad	3912	1	1
shift5391	key (of a door)	1705	→	tap, faucet	2128	2	2
shift5407	to feel	2612	→	to regret	3055	1	1
shift6869	respected, venerable	1462	→	big	3588	1	1
shift3450	only, just	4547	↔	but, however	3729	4	4
shift2392	cheerful	950	→	rainbow	1421	2	2
shift2374	autumn	2063	→	year	2077	4	4
shift5383	sun	4333	→	mother	720	1	1
shift0830	to eat	2569	→	to destroy, annihilate	2514	3	3
shift7678	magpie (Pica pica)	567	→	scatterbrain	3960	1	1
shift4132	to go through	2712	→	to be in use	2282	1	1
shift6292	ring finger	1483	—	index finger	1765	1	1
shift5592	bull	3715	→	moose	709	1	1
shift7063	to sleep	3169	→	blanket	3622	1	1
shift7268	mother	720	→	origin	4562	3	3
shift8186	to creak	2474	→	willowherb	87	1	1
shift6714	ship, vessel	4039	→	side of a coin	4072	1	1
shift3165	puppy (of a dog)	495	→	clove (of a garlic)	1010	1	1
shift2212	foot	1338	→	mountain foot	729	9	9
shift3230	runner	1523	→	millstone	665	2	2
shift1359	firm, solid	1296	→	healthy	1585	4	4
shift4675	goldsmith	813	→	dragonfly	4476	1	1
shift2894	tasteless	2133	↔	lazy	171	2	2
shift3888	earth	3798	—	god	804	2	2
shift2783	to move, to shift, to transfer	2933	→	to translate	3311	5	5
shift1933	hard, solid	1558	—	firm, solid	1296	2	2
shift4806	beloved	3574	→	husband	1694	8	8
shift2776	bird	3594	→	omen	4539	2	2
shift4409	lotus	258	→	beloved	3574	1	1
shift2950	mouth	735	—	hill	1626	1	1
shift3866	earth	3798	→	mother	720	2	2
shift2513	<hat>	1534	→	caul, amniotic sac	915	9	9
shift5715	hare (Lepus)	1562	→	December	4401	1	1
shift4143	crown (n.)	1149	—	best	3583	1	1
shift8288	lung	272	→	location of emotions	239	5	5
shift7913	leaf	174	→	sail (n.)	3920	2	2
shift6983	sharp	4022	→	rude, impolite	1517	1	1
shift1795	to cut	2484	→	spicy	4198	1	1
shift8147	daughter	4387	→	pupil (of an eye)	493	3	3
shift5985	grain, seed	823	→	descendant	4417	10	10
shift2280	to put	3025	→	to decide	2495	1	1
shift5764	to practice witchcraft	2994	→	to make, create	2902	1	1
shift5342	iron	1806	—	axe	2070	4	4
shift3093	miserable, unhappy	680	→	leper	196	2	2
shift7051	solid, entire, continuous	4160	→	narcotic drugs	1825	0	0
shift6946	sign, designation	4076	→	letter (character)	199	2	2
shift5900	radish	1414	—	black radish	3614	6	6
shift7013	pen (for writing)	340	→	chisel	970	1	1
shift8634	sparrow	4187	→	ostrich	4566	2	2
shift5870	to pull, to draw	3018	→	to milk	2915	5	5
shift1447	antelope	2007	↔	rhinoceros	1470	3	3
shift6203	fragile	1362	→	Anguis fragilis	1998	3	3
shift1538	crow	1147	→	spades (in cards)	4183	3	3
shift7894	man (male)	574	→	thumb	2188	1	1
shift4026	father	1242	—	son	4163	2	2
shift5387	box, container	3665	→	tin, can	2203	1	1
shift5034	name	1820	→	grandfather	826	1	1
shift0145	opening, hole	4551	→	genitalia	777	1	1
shift2360	to shine, glitter	3145	→	star	4247	3	3
shift1265	to strike, hit	3234	→	bedbug (Cimex lectularius)	3552	1	1
shift2150	to sail	3107	→	to fly	2642	7	7
shift0545	to pay	2963	—	to revenge	3082	20	20
shift2390	spear	4191	—	lightning	215	1	1
shift1637	sheath	4026	→	pod	419	3	3
shift5060	lenten (fare)	193	→	fatless	1245	1	1
shift2238	hard, solid	1558	—	difficult	4433	11	11
shift7588	to move down (tr.)	2928	→	to diminish	2522	3	3
shift8109	dolphin	4461	→	butterfly stroke	3736	6	6
shift4338	glass (material)	791	→	glasswort	792	1	1
shift2735	bee	3555	→	industrious, diligent person	1768	2	2
shift6496	hazy, turbid, opaque	1576	→	suspicious, questionable	4352	2	2
shift2958	strength	4301	—	clean (adj.)	998	1	1
shift1873	to dislocate (of a joint)	2533	→	to go mad	2707	2	2
shift4949	to roast	3093	—	to harass	2736	1	1
shift6547	correct (adj.)	1105	→	healthy	1585	1	1
shift6721	Jerusalem artichoke	1183	→	fool	1336	1	1
shift3946	standart-bearer	4246	→	<military rank>	558	7	7
shift6192	to search, look for	3120	→	to make a telephone call	2882	1	1
shift0400	to press	3002	—	to choke	2426	1	1
shift2966	knot	1723	→	rope, cord	1504	2	2
shift8408	leaf	174	→	October	4521	1	1
shift3764	straight	4292	—	heterosexual	1621	1	1
shift4720	sleeping	4112	→	dense (forest)	4413	1	1
shift5627	Mary, mother of Jesus	601	→	ladybird	145	13	13
shift3386	circle	983	→	year	2077	1	1
shift8332	shepherd	4031	→	child (young person)	959	1	1
shift2225	to blow	2355	—	to grow (plants)	2723	1	1
shift2188	to be separated	2297	→	to die	2517	3	3
shift8352	pericarp of a lotus	352	—	lung	272	1	1
shift2457	hornbeam	1658	—	beech	3557	1	1
shift4047	flank (body part)	1310	—	doorpost	4468	1	1
shift2786	hand/arm	1550	→	flank (military)	1311	3	3
shift0128	Venus	3757	→	Friday	1378	22	22
shift0773	to shine, glitter	3145	↔	to see/to look at	3121	5	5
shift5236	brother	3700	→	member of religious organisation	634	8	8
shift1236	to bark	2250	—	to cough	2467	4	4
shift7531	to monitor, supervise	2922	—	to prohibit	3007	1	1
shift2257	to cut	2484	—	to carp, find faults	2400	2	2
shift2019	to fall down	2605	↔	to make a mistake, be wrong	2879	3	3
shift1966	to go out	2708	→	abscess	1927	1	1
shift2961	bow-string	3662	—	tendon	2147	3	3
shift8047	to cut	2484	→	to ferment, yeast	2623	1	1
shift7597	to blow	2355	→	dandelion	4378	4	4
shift3366	spear	4191	→	arrow	2033	1	1
shift0827	brilliant, glaring	3692	→	spot, stain	4220	5	5
shift1904	flat (adj)	1312	→	unfunny	522	2	2
shift6580	bed	3549	→	bearing (mechanical device)	3544	8	8
shift1399	dirty	4440	→	bad (ethically)	3494	21	21
shift5679	mine (underground tunnel)	669	→	mine (explosive device)	668	9	9
shift0231	to die	2517	→	very	3761	2	2
shift5118	soul	4172	→	husband	1694	1	1
shift3761	mouth	735	—	ahead	1959	1	1
shift3772	to have smell	2754	—	to emit smoke	2572	1	1
shift8505	Samhain	3932	→	November	1888	2	2
shift7382	first	1297	→	January	1176	9	9
shift5522	green	845	→	siskin	4090	1	1
shift1841	cartilage	899	—	branch, twig	3672	1	1
shift1543	key (of a door)	1705	—	lock (n.)	240	2	2
shift6284	difficult	4433	—	wife	73	1	1
shift5678	monster (abnormal creature)	704	→	cruel	1151	8	8
shift8452	to turn over	3323	→	disgusting	4444	2	2
shift6130	ready	1439	→	quick	1908	1	1
shift4953	sky	4106	—	ceiling	921	2	2
shift7722	mark of wheels on the ground	591	—	river-bed	1485	1	1
shift2645	to unfold, unwind	3334	→	to follow, go after smb.	2649	1	1
shift6131	pig (Sus scrofa)	369	→	swearword	4356	1	1
shift8252	mother	720	→	river-bed	1485	2	2
shift6132	pigeon (Columba)	370	→	whore	67	2	2
shift5621	priest (Christianity)	462	→	dung-beetle	4501	1	1
shift7721	white	62	—	ice	1730	1	1
shift6785	hare (Lepus)	1562	—	ermine; stoat (Mustela erminea)	3851	1	1
shift4880	fly (n.)	1327	→	clubs (in cards)	1015	1	1
shift2570	to behave in a wrong way	2336	→	to dare	2490	1	1
shift2545	low (location)	263	→	low (social)	265	7	7
shift2060	heel (of a foot)	1596	→	footprint, track	1342	1	1
shift4734	corral, enclosure for cattle	1104	→	herd	1613	1	1
shift7118	to help, aid	2761	→	to pledge, pawn	2985	1	1
shift2235	weak	28	—	sad	3912	1	1
shift6309	cowrie	1124	→	vagina	3745	1	1
shift0976	thread	2182	→	wire (n.)	96	7	7
shift5180	quick	1908	→	swift (bird)	4366	1	1
shift7362	hip joint	1629	—	hinge	1628	1	1
shift3555	to eat	2569	→	to get money	2680	1	1
shift2760	stove	4291	→	house	1678	0	0
shift7810	fire	1286	→	pyrite	500	1	1
shift2822	European blueberry	3867	→	great bilberry (Vaccinium uliginosum)	840	2	2
shift5721	berry	3582	→	August	2054	1	1
shift4135	insect	1786	—	mosquito, gnat	717	3	3
shift3034	wolf	107	→	hare (Lepus)	1562	1	1
shift4011	father	1242	—	mother	720	2	2
shift4580	to wake up (intr.)	3348	→	to erupt	2584	1	1
shift4300	to carry	2401	—	to lead	2834	1	1
shift2196	to braid, plait, weave	2364	→	wall	6	2	2
shift3758	to breathe	2373	—	to perceive smell	2969	1	1
shift5775	bow (weapon)	3659	→	bow, fiddlestick	3660	30	30
shift3306	to grasp, seize	2717	→	to steal	3220	5	5
shift7297	to hit the target	2769	→	to find	2627	1	1
shift4291	space	4180	—	square (in a town)	4234	1	1
shift0591	house	1678	→	family	1226	11	11
shift8184	<name of person>	1811	→	willowherb	87	1	1
shift3471	to hear	2758	→	to learn, find out	2836	1	1
shift1052	sky	4106	→	by heart	3740	1	1
shift2327	insolent	1788	—	stupid	4312	1	1
shift7856	to rattle, rumble	3038	→	to ache	2214	1	1
shift6898	lily-of-the-valley (Convallaria majalis)	216	→	dear, darling	4397	1	1
shift6790	to see/to look at	3121	→	sister-in-law	4093	1	1
shift1226	to strike, hit	3234	↔	wound (n.)	125	4	4
shift0184	to sleep	3169	→	to copulate	2462	11	11
shift4278	to sweep	3260	→	blizzard	3627	3	3
shift6414	board, plank	3638	→	table (of data)	2105	2	2
shift7254	to take out	3275	→	to vomit	3346	1	1
shift4624	to fall down	2605	→	to be solved	2301	1	1
shift7649	to pinch	2976	→	to hurt	2777	3	3
shift1641	to throw	3296	→	to shoot	3149	14	14
shift5290	foot/leg	1340	→	foot-wear	1339	1	1
shift5262	mortar (bowl)	714	—	mill (n.)	660	7	7
shift0113	to throw	3296	—	to leave	2838	18	18
shift5283	husband	1694	—	wife	73	6	6
shift1671	alder (tree)	1967	→	common minnow	1057	4	4
shift2924	to run	3101	→	to happen	2735	1	1
shift2478	cheek	948	—	shield	4034	1	1
shift0792	deaf	4396	→	stupid	4312	21	21
shift8246	cow	1122	→	police officer	430	1	1
shift5324	tusk (of animal)	3469	→	wild boar	78	1	1
shift3012	to kiss	2821	—	to suck	3243	27	27
shift8425	to shear	3141	—	to blink (by eyes)	2352	1	1
shift6330	hammer	1545	→	hammer bone, malleus	1546	7	7
shift2261	to remember	3063	→	to feel	2612	3	3
shift3266	fire	1286	→	electricity	3826	6	6
shift4859	wolf	107	→	lion (Panthera leo)	223	1	1
shift7316	to lean on/against	2835	—	to moor	2923	1	1
shift6058	to plunge	2988	—	to dip	2523	1	1
shift1575	grandchild	824	—	nephew	1845	4	4
shift5761	court (of a sovereign)	1114	→	polite	431	12	12
shift6266	egg	3813	—	honeycomb	1645	1	1
shift6788	shirt	4040	→	generation	776	1	1
shift7270	blue	3634	→	blonde	3629	2	2
shift4175	comb	1040	—	harrow	1564	10	10
shift2448	shadberry	4007	—	honeysuckle	1646	1	1
shift4359	to say	3112	→	to like	2852	1	1
shift6345	to extinguish	2596	—	to set (of Moon, Sun)	3129	2	2
shift7120	distance	4450	—	age group	1958	1	1
shift2837	iron	1806	→	iron (for pressing clothes)	1807	7	7
shift7181	executioner	3884	→	shrike	4058	2	2
shift7902	to be caught, found	2262	—	to be surprised	2305	1	1
shift4914	term of address to a married woman	2155	→	queen (playing card)	1904	1	1
shift1752	to play (intr.)	2981	→	friend	1380	1	1
shift4440	green	845	—	wet	49	2	2
shift0160	salad	3927	→	lettuce	201	19	19
shift6488	mad	563	→	false, wrong	1222	4	4
shift8049	backside	3491	↔	buttock	3737	6	6
shift1221	to dig	2519	→	to find	2627	2	2
shift4094	kidney	1708	—	testicle	2161	2	2
shift6879	needle	1841	→	sarcastic	3938	1	1
shift0643	lion (Panthera leo)	223	→	monarch	696	2	2
shift7734	to throw	3296	→	to end, finish	2577	1	1
shift2340	to strike, hit	3234	→	to sound	3189	2	2
shift8471	garbage	765	↔	afterbirth, placenta	1953	7	7
shift6075	to break (intr.)	2368	→	to sentence	3126	1	1
shift3105	throat	2186	→	barrel (of a gun)	3518	2	2
shift1257	to intend	2798	—	to doubt	2546	1	1
shift6112	not to do	1883	→	Sunday	4335	6	6
shift0866	to salt	3109	→	to quarrel	3035	1	1
shift4814	circle	983	→	apartment, flat	2014	1	1
shift8629	clothes moth	1006	→	cancer (disease)	884	1	1
shift0169	tribunal	3436	→	territorial entity	2160	1	1
shift4203	to follow, go after smb.	2649	→	to read	3042	1	1
shift3151	<vessel>	3742	→	columbine (Aquilegia)	1039	1	1
shift7251	evil spirit	3877	→	magnet	566	1	1
shift3171	to die	2517	→	paralyzed	301	1	1
shift5884	to pull, to draw	3018	—	to shoot	3149	1	1
shift0703	juice	1197	→	benefit	3581	1	1
shift6365	blade	3620	—	barrel (of a gun)	3518	1	1
shift6718	raw	1436	—	lazy	171	1	1
shift3187	to dig	2519	→	to kick	2819	9	9
shift2379	arrow	2033	→	bullet	3716	13	13
shift8401	little, small	232	→	October	4521	1	1
shift7487	to move (intr.)	2926	→	artery	2036	1	1
shift3446	to dilute	2521	→	to deceive	2494	1	1
shift0592	to fall down	2605	→	to fail	2600	7	7
shift8002	tomb	3397	—	cemetery	928	3	3
shift2023	to slaughter (cattle)	3168	—	to deceive	2494	1	1
shift0504	ear	3792	↔	listener	228	3	3
shift1804	to be awake	2258	→	to guard	2731	3	3
shift6816	to stand still	3215	→	state, situation	4250	2	2
shift7622	birch	3592	→	March	589	4	4
shift0747	to see/to look at	3121	→	to meet	2909	24	24
shift8615	man (male)	574	→	January	1176	1	1
shift4264	belly	3572	→	river-bed	1485	1	1
shift0479	mouth	735	→	beak	3536	6	6
shift4207	yard, courtyard	2075	→	palace	288	3	3
shift2240	horned	1659	—	evident	3873	2	2
shift7939	inner side of hide	1782	—	sapwood, alburnum	3937	1	1
shift1843	fun, gaiety	1399	—	wedding	37	7	7
shift8048	cheese	952	→	fool	1336	1	1
shift0903	to smear, anoint	3176	→	to adorn, decorate	2223	2	2
shift5457	prophet	479	→	mantis	582	3	3
shift0108	lean	178	—	greedy	844	1	1
shift8268	old man	4534	→	term of address to a man	2154	9	9
shift5030	mother	720	→	motherland	724	35	35
shift2087	star	4247	→	North	1877	1	1
shift8135	mother	720	→	<game>	759	1	1
shift4770	needle	1841	—	arrow	2033	1	1
shift4230	to sow	3190	—	to cause	2410	8	8
shift6908	guinea fowl	859	→	turkey	3465	2	2
shift3952	to charm, to delight	2421	—	to grieve (tr.)	2721	1	1
shift6511	copper	1093	→	rose chafer	1507	1	1
shift2430	pine-tree	382	—	Siberian cedar (kedar)	4063	1	1
shift8469	plate (a serving dish)	404	→	afterbirth, placenta	1953	1	1
shift3807	old man	4534	—	Boletus edulis	3644	1	1
shift3996	buttock	3737	—	pelvis	339	1	1
shift2937	sweet-smelling, fragrant	4362	—	tasty	2134	4	4
shift4714	root (of a plant)	1499	→	book spine	3648	1	1
shift2518	empty	3835	→	unmarried	533	1	1
shift5052	vocation	3777	→	profession	470	1	1
shift7638	<ethnic group>	3786	→	<clothes>	864	4	4
shift0060	straight	4292	→	right (vs. left)	1481	6	6
shift3146	nestling, baby bird	1847	—	bud (of a flower)	3711	1	1
shift4872	rhombus	1471	→	diamonds (in cards)	4429	2	2
shift0392	beautiful	3545	↔	good	814	24	24
shift1223	weak	28	—	slow (adj.)	4120	1	1
shift1511	to love	2874	→	friend	1380	4	4
shift4878	cauldron	916	→	spades (in cards)	4183	1	1
shift6825	silence	4079	→	death	4398	1	1
shift8441	to run	3101	→	to use	3342	1	1
shift2602	to extinguish	2596	→	to destroy, annihilate	2514	8	8
shift0739	to lead	2834	→	to govern, control, rule	2716	10	10
shift5913	naked, bare	1819	→	bareback	3514	1	1
shift0230	bowels, intestine	3664	→	pregnant	456	1	1
shift0079	to turn, rotate (tr.)	3328	→	to distort	2538	3	3
shift6274	uterus	552	—	pregnant	456	1	1
shift6151	cone (fruit)	1079	→	pineapple	383	5	5
shift1972	overcoat	4573	→	fool	1336	1	1
shift6017	foot/leg	1340	→	second wife	3980	1	1
shift0209	bridge	3689	→	floor (vs. ceiling)	1322	3	3
shift5914	to cry, weep	2482	—	to fall (of rain, snow)	2603	1	1
shift5684	garlic (Allium sativum)	769	→	onion	4546	2	2
shift2311	clean (adj.)	998	→	empty	3835	3	3
shift6283	son	4163	—	nephew	1845	1	1
shift6750	berry	3582	—	grain, seed	823	1	1
shift0011	to calculate, count	2393	→	to tell	3289	13	13
shift2424	pine-tree	382	—	spruce (Picea)	4228	7	7
shift2483	<musician>	561	→	<orthopteran>	4509	1	1
shift5818	to strike, hit	3234	→	artery	2036	5	5
shift8251	bed	3549	→	sexual partner	4004	13	13
shift7793	fetlock	1264	→	bush, shrub	3727	1	1
shift1586	to find	2627	→	to be situated	2299	9	9
shift4723	grandfather	826	→	house spirit	1679	1	1
shift6272	clean (adj.)	998	—	keen (of senses, mind)	1704	1	1
shift2079	colour	1038	—	kind (n.)	1710	1	1
shift4075	other	4567	—	second (num.)	3979	32	32
shift5267	broom	3697	—	rake	1424	5	5
shift0399	ford	1345	→	watering place (for animals)	25	1	1
shift7107	pillow	376	→	base (geometry)	3521	1	1
shift6705	head	1578	→	side of a coin	4072	6	6
shift2050	to open (tr.)	2949	→	to occupy, to conquest (territory)	2947	1	1
shift2452	currant-bush	1163	→	buckthorn (Frangula)	3709	1	1
shift5548	pope	439	→	ruff (fish)	1520	1	1
shift0720	firm, solid	1296	→	closed	1003	1	1
shift2164	to cut	2484	→	to hinder	2765	2	2
shift6550	<hat>	1534	→	mushroom cap	749	13	13
shift0256	flat (adj)	1312	—	equal	3850	9	9
shift6056	to collapse	2438	—	to slim	3173	1	1
shift6202	deaf	4396	→	Anguis fragilis	1998	1	1
shift0467	eye	3890	→	centre	930	1	1
shift4188	to go upstream	2714	—	to go against the wind	2697	2	2
shift7950	to ask (for)	2238	—	to need	2938	1	1
shift4549	gold	807	→	ring finger	1483	1	1
shift2322	to press	3002	→	brave	3675	1	1
shift1039	stingy	4272	→	deaf	4396	2	2
shift2905	face	1214	→	side (n.)	4071	2	2
shift2045	messenger	642	→	angel	1994	4	4
shift8436	neck	1837	→	neck (of a musical instrument)	1838	8	8
shift0874	black	3610	→	dear, darling	4397	1	1
shift3738	to hear / to listen	2759	—	to recognize	3048	1	1
shift4822	tiger	2196	→	power, authority	450	1	1
shift6482	to present, gift	3001	—	to sacrifice (relig.)	3105	1	1
shift7595	heavy (of weight)	1594	→	to offend (tr.)	2948	1	1
shift4830	pole (long stick)	427	→	boss	3651	1	1
shift5755	mist, fog	683	—	steam, vapour	4251	4	4
shift3089	spring (season)	4224	→	summer	4330	5	5
shift1418	expensive	3885	↔	dear, darling	4397	14	14
shift2227	opening, hole	4551	—	mouth (of a river)	736	1	1
shift3727	to raise, lift (tr.)	3037	—	to remove, eliminate	3067	1	1
shift3127	<animal>	1916	→	greedy	844	5	5
shift7260	fearful, dreadful	1247	→	tiger	2196	1	1
shift0656	brave	3675	—	lavish, generous	166	1	1
shift2195	sharp	4022	→	steep	4253	2	2
shift5979	butterfly	3734	—	button (on a dress)	3738	1	1
shift5793	fat (n.)	1240	→	cataract (of the eye)	909	1	1
shift4260	tuber	3456	—	potato	445	6	6
shift5327	sticky	4268	—	honey	1642	1	1
shift5200	child (son or daughter)	958	—	undercooked	514	1	1
shift7683	to rot, putrefy	3096	→	fallow	1220	1	1
shift0828	to hold (in hands)	2771	→	to contain	2455	9	9
shift2525	to dig	2519	—	to bury	2388	5	5
shift6146	ready	1439	→	soon	4167	2	2
shift7993	leaf	174	→	auricle	2060	1	1
shift7566	white	62	→	asp (fish)	2043	1	1
shift0381	to pull, to draw	3018	→	to smoke (tobacco)	3180	11	11
shift0486	mouth	735	→	fast (n.)	1237	2	2
shift7030	cannon (weapon)	887	→	turkey	3465	1	1
shift3696	beautiful	3545	→	chanterelle	942	1	1
shift2738	stone (material)	4278	→	sky	4106	1	1
shift1892	to sting	3224	→	to induce	2789	4	4
shift2171	to spoil (tr.)	3198	→	to defeat, win	2501	1	1
