NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CERTAINTY	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
2301	prophet				prophet	one who speaks by divine inspiration		N/a
2302	prose			100	prose			Abstract entities
2303	prosperity			100	prosperity			N/a
2304	prostate				prostate	gland in male mammals surrounding the urethra just below the urinary bladder that controls the release of urine from the bladder and produces a secretion that is the fluid part of semen		N/a
2305	protection, patronage			100	protection, patronage			Abstract entities
2306	protégé				protégé			N/a
2307	protein			100	protein			N/a
2308	protrusion at the end of a key				protrusion at the end of a key			N/a
2309	proud	174	PROUD	100	proud			Non-physical
2310	proverb	3646	PROVERB	19	proverb			N/a
2311	puffball			100	puffball			N/a
2312	pumpkin	864	PUMPKIN	100	pumpkin			Plants
2313	pungent (odour)			100	pungent (odour)			Perception
2314	punishment	390	PUNISHMENT	100	punishment			Abstract entities
2315	pupil (of an eye)	1658	PUPIL	100	pupil (of an eye)			Body parts
2316	puppet, lay figure				puppet, lay figure			N/a
2317	puppy (of a dog)	74	PUPPY	100	puppy (of a dog)			Animals
2318	pure	1147	PURE	100	pure			Other physical
2319	purgative (medicine)				purgative (medicine)			N/a
2320	pus	1808	PUS	100	pus			Physiology
2321	push button			100	push button			Artifacts
2322	pyrite				pyrite	common mineral iron disulfide (FeS2), of a pale brass-yellow color and brilliant metallic luster		N/a
2323	quantity				quantity	fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items		Phasal
2324	quarrel	1848	QUARREL	100	quarrel			N/a
2325	queen	1306	QUEEN	100	queen	female monarch		N/a
2326	queen (bee)			100	queen (bee)	reproductive female insect in a beehive		Animals
2327	queen (playing card)	1306	QUEEN	11	queen (playing card)	playing card with a depiction of a queen on it, generally ranking next below the king and above the jack in a given suit		N/a
2328	queen (termites and ants)	1306	QUEEN	11	queen (termites and ants)	reproductive female of social insects		N/a
2329	queen, princess	1306	QUEEN	15	queen, princess			N/a
2330	queue			100	queue	line of people, vehicles or other objects, in which one at the front end is dealt with first, the one behind is dealt with next, and so on, and which newcomers join at the opposite end (the back)		Abstract entities
2331	quick			100	quick	of a process taking place at high speed		Other physical
2332	quiet (vs. loud)	1314	QUIET	100	quiet (vs. loud)			Sound
2333	quince			100	quince	pear-shaped fruit of a small tree of the rose family, Cydonia oblonga		Plants
2334	quinsy			100	quinsy			Physiology
2335	quite, rather				quite, rather			N/a
2336	quiver	995	QUIVER (FOR ARROWS)	100	quiver			N/a
2337	quotation mark				quotation mark	sign used to denote a quotation in writing		N/a
2338	ready meal				&lt;ready meal&gt;			N/a
2339	religious festival				&lt;religious festival&gt;	festival for a particular deity. saint or religious event		N/a
2340	rural foot-wear				&lt;rural foot-wear&gt;			Artifacts
2341	rabid	2203	RABID	100	rabid	affected with rabies		Other physical
2342	raccoon	828	RACCOON	19	raccoon	nocturnal omnivore native to North America, typically with a mixture of gray, brown, and black fur, a mask-like marking around the eyes and a striped tail; Procyon lotor		N/a
2343	race, ethnos				race, ethnos			N/a
2344	radiointerference				radiointerference	distortion on a broadcast signal due to atmospheric or other effects		Interpersonal relations
2345	radish	2365	RADISH	19	radish	Raphanus sativus var. radicula		N/a
2346	radius (bone)				radius (bone)	long bone in the forearm, on the side of the thumb		N/a
2347	radius (geometry)				radius (geometry)	line segment between any point of a circle or sphere and its center		Artifacts
2348	raft	1664	RAFT	19	raft	flat-bottomed craft usually made of logs able to float on water, used for transport		N/a
2349	rag, duster	332	RAG	15	rag, duster	None		Artifacts
2350	railcar				railcar	unpowered unit in a railroad train		N/a
2351	rain	658	RAIN (PRECIPITATION)	100	rain	water falling from a cloud		Natural objects
2352	rainbow	1733	RAINBOW	100	rainbow	multicoloured arch in the sky, produced by prismatic refraction of light within droplets of rain in the air		Natural objects
2353	rainbow smelt				rainbow smelt	fish Osmerus mordax		N/a
2354	raisin				raisin	dried grape		N/a
2355	rake	338	RAKE	19	rake	garden tool with a row of pointed teeth fixed to a long handle, used for collecting debris, grass, etc., for flattening the ground, or for loosening soil		N/a
2356	ram	1344	RAM	100	ram	male sheep		Animals
2357	Ranunculus				Ranunculus			N/a
2358	rapids	1670	RAPIDS	100	rapids	rough section of a river or stream which is difficult to navigate due to the swift and turbulent motion of the water		Natural objects
2359	rare	209	RARE	100	rare	very uncommon; scarce		Time
2360	rash, eruption			100	rash, eruption			Physiology
2361	raspberry	3803	RASPBERRY	19	raspberry	plant Rubus idaeus		Plants
2362	rat	1490	RAT	19	rat	rodent belonging to the genus Rattus		Animals
2363	rather (preference)				rather (preference)			N/a
2364	raven	2543	RAVEN	100	raven	bird Corvus corax		Animals
2365	ravine	1930	RAVINE	100	ravine	deep narrow valley or gorge in the earth&#39;s surface		Natural objects
2366	raw	1959	RAW	100	raw			Other physical
2367	raw	1959	RAW	100	raw			Other physical
2368	raw material				raw material			N/a
2369	ray			100	ray	beam of light		Natural objects
2370	ready	790	READY	100	ready			Non-physical
2371	rear	523	BACK OF HEAD	19	rear	being behind, or in the hindmost part; hindmost		N/a
2372	rear end				rear end			N/a
2373	recent			100	recent			Non-physical
2374	recently			100	recently			Time
2375	red	156	RED	100	red			Light and Colour
2376	red panda				red panda	omnivorous mammal, Ailurus fulgens, native to the Himalayas and eastern Asia, which has dark red fur and a ringed tail		N/a
2377	redfin dace				redfin dace	fish Tribolodon		N/a
2378	reed	659	REED	100	reed			N/a
2379	reed (in loom)	659	REED	11	reed (in loom)	comb-like part of a beater for beating the weft when weaving		N/a
2380	reflection (in the mirror, water)	948	WATER	11	reflection (in the mirror, water)	image that appears on a smooth, shiny surface due to the refraction of light rays		N/a
2381	region				region	any considerable and connected part of a space or surface; specifically, a tract of land or sea of considerable but indefinite extent; a country; a district		N/a
2382	reindeer	1876	REINDEER	19	reindeer	arctic and subarctic-dwelling deer of the species Rangifer tarandus		N/a
2383	reindeer calf				reindeer calf			N/a
2384	relation, connection				relation, connection			N/a
2385	relative (n.)	1644	RELATIVES	100	relative (n.)			Human being
2386	reliable, trustworthy				reliable, trustworthy			N/a
2387	remembrance				remembrance	act of remembering; a holding in mind, or bringing to mind; recollection		N/a
2388	remote area				remote area			N/a
2389	reputation				reputation			N/a
2390	resentment, offense				resentment, offense	displeasure stemming from belief that one has been wronged or betrayed by others		N/a
2391	resin, tar	664	RESIN	15	resin, tar	None		Natural objects
2392	respect (n.)	1912	RESPECT (NOUN)	100	respect (n.)			Abstract entities
2393	respected, venerable				respected, venerable	None		Non-physical
2394	rest (n.)	168	REST	11	rest (n.)			N/a
2395	result, outcome	3969	RESULT	100	result, outcome			Abstract entities
2396	resurrection				resurrection			N/a
2397	retina				retina	thin layer of cells at the back of the eyeball that contains rods and cones sensitive to light, which trigger nerve impulses that pass via the optic nerve to the brain		N/a
2398	revenge			100	revenge			Abstract entities
2399	rheumatism			100	rheumatism			Abstract entities
2400	rhinoceros	2591	RHINOCEROS	100	rhinoceros	any of several large herbivorous ungulates native to Africa and Asia of the five extant species in the three extant genera in the family Rhinocerotidae, with thick, gray skin and one or two horns on their snouts		Animals
2401	rhinoceros	2591	RHINOCEROS	100	rhinoceros			Animals
2402	rhombus				rhombus	parallelogram having all sides of equal length		N/a
2403	rhubarb				rhubarb	plant of the genus Rheum, especially Rheum rhabarbarum, having large leaves and long green or reddish acidic leafstalks that are edible, in particular when cooked		N/a
2404	rib	801	RIB	100	rib	any of a series of long curved bones occurring in 12 pairs in humans and other animals and extending from the spine to or toward the sternum.		Body parts
2405	rib (part of a ship’s framework)	801	RIB	11	rib (part of a ship’s framework)	any of several curved members attached to a ship&#39;s keel and extending upward and outward to form the framework of the hull		N/a
2406	rice	926	RICE	100	rice	cereal plant, Oryza sativa of the grass family whose seeds are used as food		Natural objects
2407	rich	712	RICH	100	rich			Non-physical
2408	riddle	2970	RIDDLE	19	riddle			N/a
2409	ridgepole	280	RIDGEPOLE	19	ridgepole	beam along the ridge of a roof to which the rafters are attached		N/a
2410	right	1019	RIGHT	19	right	correct		N/a
2411	right (political)	1019	RIGHT	11	right (political)	opposing political and social equality, especially conservative, traditional, and/or reactionary politics		N/a
2412	right (vs. left)	1019	RIGHT	100	right (vs. left)	dexter; designating the side of the body which is positioned to the east if one is facing north		Other physical
2413	right side			100	right side			Space
2414	ring finger			100	ring finger	finger between middle finger and little finger		N/a
2415	river	666	RIVER	100	river	large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water, such as an ocean or in an inland sea		Natural objects
2416	river-bed	993	RIVER BED	100	river-bed	path where a river runs, or where a river once ran; the bottom earthen part of a river, not including the riverbanks		Natural objects
2417	road	667	ROAD	100	road			Space
2418	roasted				roasted			N/a
2419	robbery			100	robbery			Abstract entities
2420	rock, crag, cliff	992	CLIFF	15	rock, crag, cliff			Natural objects
2421	rodent				rodent	mammal of the order Rodentia, characterized by long incisors that grow continuously and are worn down by gnawing		N/a
2422	rolling-pin			100	rolling-pin			Artifacts
2423	Romani				Romani	member of the Romani people, or one of the sub-groups (Roma, Sinti, Romanichal, etc)		Human being
2424	roof	769	ROOF	100	roof			N/a
2425	rook				rook	bird Corvus frugilegus		Human being
2426	rook (chess)				rook (chess)			N/a
2427	room	1450	ROOM	100	room			Artifacts
2428	rooster	1511	ROOSTER	100	rooster	male domestic chicken		Animals
2429	root (arithmetic)	670	ROOT	11	root (arithmetic)	number which, when raised to a specified power, yields the specified number		N/a
2430	root (of a plant)	670	ROOT	100	root (of a plant)	part of a plant, generally underground, that anchors and supports the plant body, absorbs and stores water and nutrients		Plants
2431	root (of a word)	670	ROOT	11	root (of a word)	primary lexical unit of a word, which carries the most significant aspects of semantic content and cannot be reduced into smaller constituents		N/a
2432	root of equation				root of equation	number whose substitution into an equation instead of a variable (usually x ) gives the same expression values to the right and left of the equal sign		N/a
2433	root of tooth				root of tooth	part of a tooth extending into the bone holding the tooth in place		N/a
2434	root vegetable			100	root vegetable	root of a plant used as an edible vegetable, such as the carrot		N/a
2435	rope, cord	1218	ROPE	19	rope, cord	thick strings, yarn, monofilaments, metal wires, or strands of other cordage that are twisted together to form a stronger line		Artifacts
2436	rose	3882	ROSE	19	rose	shrub of the genus Rosa, with red, pink, white or yellow flowers. A flower of this shrub		N/a
2437	rose apple (Syzygium)				rose apple (Syzygium)	various Syzygium species or their fruit, especially: Syzygium aqueum, the watery rose apple; Syzygium jambos, the jambu fruit; Syzygium malaccense, the Malay rose apple; Syzygium samarangense, the Semarang rose-apple or wax jambu.		N/a
2438	rose chafer				rose chafer	beetle Cetonia aurata		N/a
2439	rotten	1728	ROTTEN	100	rotten			Other physical
2440	rough wool				rough wool			N/a
2441	rough, uneven	1923	ROUGH	100	rough, uneven			Other physical
2442	round (adj.)	1395	ROUND	100	round (adj.)			Other physical
2443	round object			100	round object			N/a
2444	rowan			100	rowan			Plants
2445	rubber				rubber			N/a
2446	ruby (stone)			100	ruby (stone)	clear, deep, red variety of corundum, valued as a precious stone		Natural objects
2447	rudder (of a boat)	108	RUDDER	100	rudder (of a boat)			Artifacts
2448	rude, impolite	1412	RUDE	100	rude, impolite			Evaluation
2449	ruff				ruff	circular frill or ruffle on a garment, especially a starched, fluted frill at the neck		N/a
2450	ruff (bird)				ruff (bird)	Philomachus pugnax		N/a
2451	ruff (fish)				ruff (fish)	small freshwater fish Gymnocephalus cernua which has spiny fins		Animals
2452	rule, regulations			100	rule, regulations			Abstract entities
2453	rumour	63	RUMOUR	100	rumour	statement or claim of questionable accuracy, from no known reliable source, usually spread by word of mouth		Abstract entities
2454	runner			100	runner	one who runs		N/a
2455	rural			100	rural			Non-physical
2456	rush (plant)			100	rush (plant)			Plants
2457	Russian			100	Russian	ethnic Russian: a member of the East Slavic ethnic group which is native to, and constitutes the majority of the population of, Russia		N/a
2458	Russian desman				Russian desman	mammal Desmana moschata		N/a
2459	rust (n.)	3064	RUST	100	rust (n.)	deteriorated state of iron or steel as a result of moisture and oxidation		Natural objects
2460	rust (plant disease)	3064	RUST	11	rust (plant disease)	fungal disease of plants		N/a
2461	rusty			100	rusty	marked or corroded by rust		Other physical
2462	rut				rut	sexual desire of mammals during the mating season		N/a
2463	rye	23	RYE	19	rye	grain used extensively in Europe for making bread, beer, and (now generally) for animal fodder. The grass Secale cereale from which the grain is obtained.		N/a
2464	rye bread				rye bread	bread made partly or entirely with rye flour		N/a
2465	salmon	944	SALMON	19	&lt;salmon&gt;	one of several species of fish of the Salmoninae subfamily		Animals
2466	small artifact				&lt;small artifact&gt;			N/a
2467	small insect				&lt;small insect&gt;	any small insect		Animals
2468	sturgeon	3606	STURGEON	19	&lt;sturgeon&gt;	any marine or freshwater fish of the family Acipenseridae		Animals
2469	swimming bird				&lt;swimming bird&gt;	any swimming bird		Animals
2470	sabbath				sabbath			N/a
2471	sable				sable	Martes zibellina, small carnivorous mammal of the Old World that resembles a weasel		N/a
2472	sabrefish				sabrefish	fish Pelecus cultratus		Animals
2473	sack, bag			100	sack, bag			Artifacts
2474	sacred, holy	1702	HOLY	15	sacred, holy	None		N/a
2475	sacrifice	1103	SACRIFICE	19	sacrifice	offering of anything to a god; a consecratory rite		N/a
2476	sacrum (bone)				sacrum (bone)	large triangular bone at the base of the spine, located between the two ilia (wings of the pelvis) and formed from vertebrae that fuse in adulthood		N/a
2477	sad	699	SAD	100	sad			Non-physical
2478	saddle	3065	SADDLE	100	saddle	seat for a rider placed on the back of a horse or other animal		Artifacts
2479	saddleback			100	saddleback	saddle-shaped ridge forming a shallow pass between two peaks		Natural objects
2480	sadness	3854	SADNESS	19	sadness			N/a
2481	safety				safety			N/a
2482	saffron				saffron	plant Crocus sativus		Plants
2483	Sagittarius				Sagittarius	constellation of the zodiac supposedly shaped like a centaur who is an archer		N/a
2484	saiga antelope				saiga antelope	Saiga tatarica		N/a
2485	sail (n.)	786	SAILCLOTH	100	sail (n.)	piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along		Artifacts
2486	sailor				sailor	member of the crew of a vessel; a mariner; a common seaman		N/a
2487	saint				saint			N/a
2488	Saint Demetrius				Saint Demetrius	Demetrius of Thessaloniki. His feast day is 26 October for Eastern Orthodox Christians, which falls on 8 November [NS] for those following the old calendar. In the Roman Catholic church he is most commonly called &#34;Demetrius of Sermium&#34; and his memorial falls on 8 October.		N/a
2489	Saint George’s Day				Saint George’s Day	the feast day of Saint George, celebrated by Christian churches, countries, and cities of which he is the patron saint		N/a
2490	Saint Nicholas				Saint Nicholas	a 4th-century Greek bishop from Myra, Anatolia, patron saint of children, mariners and the unwed among others, functioning in multiple countries as a gift-giving figure around his feast day of December 6.		N/a
2491	Saint-John's-wort (Hypericum)			100	Saint-John&#39;s-wort (Hypericum)			Plants
2492	salad				salad	food made primarily of a mixture of raw or cold ingredients, typically vegetables, usually served with a dressing such as vinegar or mayonnaise		N/a
2493	salary	1122	WAGES	19	salary			N/a
2494	salsify				salsify	Tragopogon, a genus of flowering plants in the family Asteraceae		N/a
2495	salt	1274	SALT	100	salt	common substance, chemically consisting mainly of sodium chloride (NaCl), used extensively as a condiment and preservative		Natural objects
2496	salty	1091	SALTY	100	salty			Taste
2497	Samhain				Samhain	holiday, falling on the night of October 31 to November 1, celebrated by the ancient Celts and by modern neo-pagans as the beginning of winter and the new year, and a time during which the spirits of the dead could return to the earth		N/a
2498	Samsara				Samsara	In Jainism, Hinduism, Buddhism, the ongoing cycle of birth, death, and rebirth endured by human beings and all other mortal beings, and from which release is obtained by achieving the highest enlightenment		N/a
2499	sand	671	SAND	100	sand	rock that is ground more finely than gravel, but is not as fine as silt, forming beaches and deserts and also used in construction		Natural objects
2500	sap (of a plant)	345	SAP	100	sap (of a plant)			Natural objects
2501	sapling			100	sapling			Natural objects
2502	sapwood, alburnum				sapwood, alburnum	the wood just under the bark of a stem or branch, different in color from the heartwood		N/a
2503	sarcastic			100	sarcastic			Non-physical
2504	sated with food				sated with food	None		N/a
2505	satellite of a planet				satellite of a planet			N/a
2506	sati (Hindu practice)				sati (Hindu practice)			N/a
2507	satintails (Imperata)				satintails (Imperata)	widespread genus of tropical and subtropical grasses		N/a
2508	saturated (of colour)			100	saturated (of colour)			Light and Colour
2509	saturated (with something)			100	saturated (with something)			Other physical
2510	Saturday	1700	SATURDAY	100	Saturday			Time
2511	Saturn			100	Saturn			Natural objects
2512	sausage	1874	SAUSAGE	100	sausage			Artifacts
2513	saw	1948	SAW	100	saw			Artifacts
2514	sawdust			100	sawdust			Artifacts
2515	scale insect				scale insect			N/a
2516	scale, squama	2783	SCALES (MEASURE INSTRUMENT)	15	scale, squama	rigid plates which grows out of the skin of various animals (Wikipedia)		N/a
2517	scales,  weighing machine	266	SCALE	15	scales,  weighing machine			N/a
2518	scandal			100	scandal			Abstract entities
2519	scanty, not numerous	542	SCANTY	100	scanty, not numerous			Quantity
2520	scanty, scarce				scanty, scarce	somewhat less than is needed in amplitude or extent		N/a
2521	scar	497	SCAR	100	scar			Physiology
2522	scarf	3066	SCARF OR TURBAN	100	scarf			Artifacts
2523	scarlet fever				scarlet fever			Abstract entities
2524	scarlet pimpernel (Anagallis arvensis)				scarlet pimpernel (Anagallis arvensis)			N/a
2525	scatterbrain				scatterbrain			N/a
2526	scissors	356	SHEARS	19	scissors			N/a
2527	scorpion	1538	SCORPION	100	scorpion			Animals
2528	Scorpius				Scorpius	constellation of the zodiac, roughly shaped like a scorpion. Its brightest star is the red giant Antares		N/a
2529	scoundrel			100	scoundrel			N/a
2530	screen (in cinema)				screen (in cinema)	viewing surface or area of a movie, or moving picture or slide presentation		N/a
2531	screen, cover	761	COVER	15	screen, cover			N/a
2532	screw, screw-bolt	1802	SCREW	100	screw, screw-bolt			Artifacts
2533	scrotum	2834	SCROTUM	100	scrotum			Body parts
2534	scythe	20	SCYTHE	19	scythe	instrument for mowing grass, grain, etc. by hand, composed of a long, curving blade with a sharp concave edge, fastened to a long handle		N/a
2535	sea	1474	SEA	100	sea			Natural objects
2536	seagull	950	SEAGULL	100	seagull			Animals
2537	seahorse (Hippocampus)	2586	SEAHORSE	11	seahorse (Hippocampus)			N/a
2538	seal (animal)	651	SEAL	100	seal (animal)			Animals
2539	seal, stamp	651	SEAL	15	seal, stamp			N/a
2540	season (of the year)	691	SEASON	100	season (of the year)			N/a
2541	seasonal flooding				seasonal flooding			N/a
2542	seat, chair	1476	CHAIR	100	seat, chair			Artifacts
2543	second (measure of time)			100	second (measure of time)			Time
2544	second (num.)	1384	SECOND	11	second (num.)			Abstract entities
2545	second wife				second wife	second wife		N/a
2546	secret			100	secret			Non-physical
2547	secret (n)			100	secret (n)			Abstract entities
2548	secret; covert			100	secret; covert			Non-physical
2549	sediment			100	sediment			Natural objects
2550	seesaw				seesaw	structure composed of a plank, balanced in the middle, used as a game in which one person goes up as the other goes down		N/a
2551	self	1993	SELF	19	self			N/a
2552	sense of smell			100	sense of smell			Abstract entities
2553	sense, perception			100	sense, perception			Abstract entities
2554	sensitive				sensitive			N/a
2555	sensitive (instrument)				sensitive (instrument)			N/a
2556	sensitive (person)				sensitive (person)			N/a
2557	sensitive, keen (of hearing)	39	KEEN	11	sensitive, keen (of hearing)			N/a
2558	sentence (by a court)	390	PUNISHMENT	100	sentence (by a court)			N/a
2559	separate (adj.)			100	separate (adj.)			Non-physical
2560	separately			100	separately			Abstract relations
2561	September	2852	SEPTEMBER	19	September			N/a
2562	servant	255	SERVANT	100	servant			Human being
2563	service, good turn			100	service, good turn			Abstract entities
2564	seven	1704	SEVEN	19	seven			N/a
2565	seventy	1721	SEVENTY	19	seventy			N/a
2566	several	1198	MANY	19	several	a quanitity of objects less than ten and more than two.		N/a
2567	severe (about pain)			100	severe (about pain)			Evaluation
2568	severe, harsh	419	SEVERE	15	severe, harsh	None		Non-physical
2569	sexual partner				sexual partner			N/a
2570	sexually attractive				sexually attractive			N/a
2571	sexually transmitted disease				sexually transmitted disease			N/a
2572	shadberry			100	shadberry			Plants
2573	shade	1388	SHADE	19	shade			N/a
2574	shadow	1388	SHADE	100	shadow			Natural objects
2575	shadow	1388	SHADE	100	shadow			Natural objects
2576	shadow side				shadow side	a side of an object (e.g. mountain) which is protected from the sunlight.		N/a
2577	shadow theatre			100	shadow theatre			Artifacts
2578	shahada				shahada			N/a
2579	shallow	193	SHALLOW	100	shallow			Size
2580	shaman	394	SHAMAN (FOLK HEALER)	100	shaman			N/a
2581	shaman hand drum			100	shaman hand drum			N/a
2582	shame	1776	SHAME	100	shame			Abstract entities
2583	shape, form	3747	SHAPE	100	shape, form			N/a
2584	shapeless			100	shapeless			Other physical
2585	share; stock			100	share; stock			Artifacts
2586	shark	1110	SHARK	100	shark			Animals
2587	sharp	1396	SHARP	100	sharp			Tactile quality
2588	sharp point	2992	TIP (OF OBJECT)	100	sharp point			Artifacts
2589	sharpshooter				sharpshooter	person trained to shoot precisely with a rifle		Non-physical
2590	sheaf			100	sheaf			Artifacts
2591	sheath	3424	SHEATH	100	sheath			Artifacts
2592	sheep	1331	SHEEP	100	sheep			Animals
2593	sheet of paper			100	sheet of paper			Artifacts
2594	shell (of an egg)	598	SHELL	11	shell (of an egg)			N/a
2595	shell (of mollusc)	598	SHELL	11	shell (of mollusc)	None		Animals
2596	shepherd	2544	SHEPHERD	19	shepherd			N/a
2597	shepherd's pipe (musical instrument)				shepherd&#39;s pipe (musical instrument)			N/a
2598	Shevat				Shevat	fifth month of the civil year and the eleventh month of the ecclesiastical year in the Jewish calendar, after Tevet and before Adar		N/a
2599	shield	1064	SHIELD	100	shield			Artifacts
2600	shin	186	SHIN	19	shin	part of the leg below the knee		N/a
2601	shinbone				shinbone			N/a
2602	shine (n.)	2236	SHINE (EMITTED LIGHT)	100	shine (n.)			Abstract entities
2603	ship's bells				ship&#39;s bells	the strokes on a ship&#39;s bell, every half hour, to mark the passage of time. In each of the day&#39;s six watches of four hours, one bell marks the end of the first half hour, eight bells marks the end of the watch		N/a
2604	ship, vessel	740	SHIP	100	ship, vessel			Artifacts
2605	shirt	1622	SHIRT	19	shirt			N/a
2606	shive				shive	splinter or fragment of the woody core of flax or hemp broken off in braking or scutching		N/a
2607	shoal			100	shoal			Natural objects
2608	shoehorn				shoehorn	smooth tool that assists in putting the foot into a shoe		Abstract entities
2609	shoes' soles				shoes&#39; soles			N/a
2610	shooter			100	shooter			N/a
2611	shooting target				shooting target	object in various forms and shapes that are used for pistol, rifle, shotgun and other shooting sports, as well as in darts, target archery, crossbow shooting and other sports		N/a
2612	shop	746	SHOP	100	shop			Artifacts
2613	short (size)	1645	SHORT	100	short (size)			Size
2614	short person				short person			N/a
2615	short, brief	3312	SHORT (TIME)	100	short, brief			Size
2616	shortly			100	shortly			Time
2617	should, ought to				should, ought to	None		N/a
2618	shoulder	1482	SHOULDER	100	shoulder			Body parts
2619	shoulder pole	3432	SHOULDER POLE	19	shoulder pole	a yoke of wood or bamboo, used by people to carry a load		N/a
2620	shoulder-blade, scapula	172	SHOULDERBLADE	100	shoulder-blade, scapula			Body parts
2621	shout, scream			100	shout, scream			Abstract entities
2622	shower head				shower head			N/a
2623	shrike				shrike	bird Lanius sp.		N/a
2624	shrimp, prawn	2686	CRUSTACEANS (PRAWNS OR SHRIMP)	100	shrimp, prawn			Animals
2625	shuttle (in a sewing machine)	543	SHUTTLE	11	shuttle (in a sewing machine)			N/a
2626	shuttle (weaving instrument)	543	SHUTTLE	100	shuttle (weaving instrument)			Artifacts
2627	shy	487	SHY	19	shy			N/a
2628	Siberian cedar (kedar)			100	Siberian cedar (kedar)			Plants
2629	Siberian flying squirrel				Siberian flying squirrel	Pteromys volans		Animals
2630	siberian jay				siberian jay	Perisoreus infaustus		N/a
2631	Siberian weasel (Mustela sibirica)			100	Siberian weasel (Mustela sibirica)			Animals
2632	sibling	1640	SIBLING	19	sibling			N/a
2633	sibling of opposite sex				sibling of opposite sex	brother for woman, sister for man		N/a
2634	sick, ill	1847	SICK	19	sick, ill	unhealthy		Other physical
2635	sickle	341	SICKLE	19	sickle			N/a
2636	side (n.)	682	SIDE	100	side (n.)			Space
2637	side of a coin				side of a coin	None		N/a
2638	siege engine				siege engine			N/a
2639	sieve (n.)	3353	SIEVE (TOOL)	100	sieve (n.)			Artifacts
2640	sigh			100	sigh			N/a
2641	sign, designation	1720	SIGN	100	sign, designation			Abstract entities
2642	sign, omen	1720	SIGN	15	sign, omen			Natural objects
2643	signature				signature	person&#39;s name, written by that person, used as identification or to signify approval of accompanying material, such as a legal contract		N/a
2644	silence	3458	SILENCE	19	silence			N/a
2645	silent	48	BE SILENT	100	silent			N/a
2646	silver	759	SILVER	100	silver			Natural objects
2647	simple	686	EASY	100	simple			Non-physical
2648	simultaneously				simultaneously			N/a
2649	sin	2971	SIN	100	sin			Abstract entities
2650	since				since			N/a
2651	single-eyed			100	single-eyed			Other physical
2652	sink (basin for holding water for washing)	1088	SINK (DESCEND)	11	sink (basin for holding water for washing)			N/a
2653	sinus (math.)			100	sinus (math.)			Abstract entities
2654	sir				sir			N/a
2655	siskin				siskin	bird Spinus spinus		Human being
2656	sister	1263	SISTER	19	sister			N/a
2657	sister's husband				sister&#39;s husband			N/a
2658	sister-in-law	2317	SISTER-IN-LAW	19	sister-in-law			N/a
2659	sixth				sixth	ordinal form of the number six		N/a
2660	sizing tool			100	sizing tool			Artifacts
2661	skeleton	2668	SKELETON	19	skeleton			N/a
2662	skilful, dexterous	1824	DEXTEROUS	100	skilful, dexterous			Non-physical
2663	skill				skill			Abstract entities
2664	skilled artisan				skilled artisan			N/a
2665	skin (of a person)	2613	SKIN (HUMAN)	100	skin (of a person)			Body parts
2666	skin (of an animal)	2614	SKIN (ANIMAL)	100	skin (of an animal)			Body parts
2667	skirt	1600	SKIRT	100	skirt			Artifacts
2668	skull	1605	SKULL	100	skull			Body parts
2669	skull	1605	SKULL	100	skull			Body parts
2670	skunk	3888	SKUNK	19	skunk	any of various small mammals, of the family Mephitidae, native to North and Central America, having a glossy black with a white coat and two musk glands at the base of the tail for emitting a noxious smell as a defensive measure		N/a
2671	sky	1732	SKY	100	sky			Natural objects
2672	slag, scoria				slag, scoria			N/a
2673	slander				slander			Abstract entities
2674	slattern			100	slattern			Human being
2675	slaughter	1796	SLAUGHTER	19	slaughter	killing of animals for meat		N/a
2676	slave	812	SLAVE	100	slave			Human being
2677	sleeping	1585	SLEEP	19	sleeping			N/a
2678	sleeve	2953	SLEEVE	100	sleeve	part of a garment covering the arm		Artifacts
2679	sleigh	16	SLED	19	sleigh			N/a
2680	sling (weapon)	387	SLING	11	sling (weapon)	instrument for throwing stones or other missiles, consisting of a short strap with two strings fastened to its ends, or with a string fastened to one end and a light stick to the other		N/a
2681	slingshot				slingshot	Y-shaped stick with an elastic sling between the arms used for shooting small projectiles		N/a
2682	slippery	3702	SLIPPERY	19	slippery	of a surface, having low friction, often due to being covered in a non-viscous liquid, and therefore hard to grip, hard to stand on without falling, etc.		N/a
2683	slippery jack (Suillus luteus)				slippery jack (Suillus luteus)			N/a
2684	sloth (South American mammal)	2446	SLOTH	11	sloth (South American mammal)			N/a
2685	slow (adj.)	701	SLOW	100	slow (adj.)			Other physical
2686	slug				slug	terrestrial pulmonate gastropod mollusks, having no (or only a rudimentary) shell		N/a
2687	small (amount)	1246	SMALL	11	small (amount)			N/a
2688	small object			100	small object			Natural objects
2689	small quantity of something			100	small quantity of something			Abstract entities
2690	small tortoise-shell (Aglais urticae)			100	small tortoise-shell (Aglais urticae)			Animals
2691	smallpox	1054	SMALLPOX	100	smallpox			Human being
2692	smart	2530	SMART	19	smart			N/a
2693	smell (n.)	3704	ODOR (SMELL)	20	smell (n.)	None		Abstract entities
2694	smell of cattle				smell of cattle	usually bad, smell of animals		N/a
2695	smoke	778	SMOKE (EXHAUST)	100	smoke			Natural objects
